Category,Merchant Name,Amount
Entertainment,AMZN Mktp US             ,($19.98)
Dining Out,SQ *SPACE 24 TWENTY      ,$8.23 
Groceries,SQ *BENNU COFFEE         ,$4.33 
Dining Out,SQ *SHAKE SMART UNIVERSIT,$6.98 
Utilities,Spotify USA              ,$5.40 
Education,UT H&F FOOD SERVICE      ,$7.57 
Entertainment,AMZN Mktp US*M86MM4E51   ,$7.99 
Dining Out,TORCHYS TACOS - 3 - GU   ,$10.01 
Dining Out,KERBEY LANE CAFE-UT      ,$10.00 
Education,UT H&F FOOD SERVICE      ,$1.69 
Entertainment,AMZN Mktp US*M824V7N72   ,$19.98 
Dining Out,TX COFFEE TRADERS SCIENC ,$1.75 
Dining Out,MANGO MANGO DESSERT.     ,$7.40 
Payments and Fees,INTERNET PMT-THANK YOU   ,($289.94)
Dining Out,TST* BOULDIN CREEK CAFE  ,$33.91 
Dining Out,SQ *BANANARCHY           ,$6.00 
Dining Out,"SQ *DONFOODTRUCK, LLC    ",$6.50 
Dining Out,SQ *SPACE 24 TWENTY      ,$3.25 
Groceries,SQ *SUMMERMOON COFFEE BAR,$4.50 
Dining Out,SQ *SPACE 24 TWENTY      ,$7.58 
Dining Out,CABO BOBS #102           ,$6.77 
Groceries,SQ *BENNU COFFEE         ,$4.60 
Dining Out,SQ *STEEL CITY POPS - GUA,$3.78 
Dining Out,SQ *SPACE 24 TWENTY      ,$7.91 
Dining Out,CAVA GRILL THE DRAG      ,$10.14 
Dining Out,OMA'S KITCHEN            ,$7.57 
Education,UT H&F FOOD SERVICE      ,$7.12 
Education,UT H&F FOOD SERVICE      ,$2.09 
Dining Out,TORCHYS TACOS - 3 - GU   ,$8.12 
Dining Out,SQ *SPACE 24 TWENTY      ,$4.33 
Groceries,WHEATSVILLE FOOD CO-OP   ,$4.47 
Dining Out,SQ *SPACE 24 TWENTY      ,$7.58 
Entertainment,Amazon.com*MT7OO58L1     ,$9.52 
Dining Out,ARAMARK UTA JAVA CITY PCL,$4.97 
Dining Out,SQ *SHAKE SMART UNI      ,$5.95 
Dining Out,SQ *SPACE 24 TWENTY      ,$5.33 
Dining Out,SQ *SHAKE SMART UNI      ,$6.98 
Entertainment,AMZN Mktp US*MT04N55Y0   ,$76.50 
Dining Out,SQ *MANGO8               ,$6.23 
Dining Out,SQ *PIEOUS               ,$10.58 
Groceries,SQ *SUMMERMOON           ,$5.50 
Dining Out,SQ *SPACE 24 TWENTY      ,$4.98 
Dining Out,SQ *SHAKE SMART UNI      ,$6.98 
Dining Out,TX COFFEE TRADERS SCIENC ,$5.53 
Dining Out,ARAMARK SAC STARBUCKS    ,$5.47 
Dining Out,TX COFFEE TRADERS SCIENC ,$5.65 
Dining Out,SQ *DONFOODTRUCK  LLC    ,$7.50 
Dining Out,SQ *SPACE 24 TWENTY      ,$3.25 
Dining Out,SQ *SPACE 24 TWENTY      ,$3.51 
Dining Out,SQ *SPACE 24 TWENTY      ,$4.06 
Dining Out,TX COFFEE TRADERS SCIENC ,$4.91 
Dining Out,SQ *SHAKE SMART UNI      ,$6.98 
Groceries,SQ *TEJIS                ,$11.08 
Travel,LYFT   *RIDE FRI 11PM    ,$5.95 
Payments and Fees,INTERNET PMT-THANK YOU   ,($231.65)
Dining Out,ARAMARK UTA JAVA CITY PCL,$5.51 
Travel,LYFT   *RIDE THU 7AM     ,$5.95 
Dining Out,TX COFFEE TRADERS SCIENC ,$4.91 
Groceries,SQ *SUMMERMOON           ,$6.00 
Dining Out,SQ *SPACE 24 TWENTY      ,$4.77 
Dining Out,KERBEY LANE CAFE-UT      ,$30.23 
Travel,LYFT   *RIDE WED 7PM     ,$7.58 
Travel,LYFT   *RIDE WED 5PM     ,$7.62 
Personal Care,AUDIOBOOKS.COM           ,$14.95 
Dining Out,TX COFFEE TRADERS RLM    ,$5.65 
Entertainment,SQ *O'S CAMPUS CAFE AND C,$2.80 
Entertainment,AMZN Mktp US             ,$18.34 
Dining Out,K BOP RESTAURANT         ,$11.20 
Household,INTERNATIONAL TRANS FEE  ,$0.20 
Household,PAYPAL *MOCHIDONG        ,$25.11 
Groceries,SQ *BENNU COFFEE         ,$2.71 
Dining Out,SQ *SHAKE SMART UNI      ,$6.98 
Groceries,SQ *SUMMERMOON           ,$6.00 
Dining Out,SQ *SPACE 24 TWENTY      ,$3.51 
Dining Out,SQ *SPACE 24 TWENTY      ,$4.77 
Dining Out,TST* COUNTER CULTURE REST,$16.99 
Dining Out,SQ *DONFOODTRUCK  LLC    ,$7.50 
Entertainment,AMZN MKTP US AMZN.COM/BIL,($5.99)
Groceries,CENTRAL MARKET #61       ,$42.87 
Education,UT H&F FOOD SERVICE      ,$2.48 
Dining Out,SQ *AMY'S ICE CREAM      ,$4.56 
Entertainment,AMZN MKTP US AMZN.COM/BIL,$14.64 
Entertainment,AMZN MKTP US AMZN.COM/BIL,$23.80 
Dining Out,FLOWER CHILD AUSTIN 2ND  ,$10.74 
Dining Out,NI-KOME SUSHI + RAMEN    ,$12.63 
Groceries,HEB  #202                ,$46.95 
Payments and Fees,INTERNET PMT-THANK YOU   ,($327.45)
Dining Out,PANERA BREAD #204449     ,$5.68 
